Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
6319-6323 Primrose Ave,Los Angeles,CA,Multi-Family,"6,156",2 Star,"$1,900,000",308.64,9/15/2023,Sold,"1,995,000",4.41,,,,,,,Susie Koo,,Local,RE/MAX Commercial & Investment Realty,Apartments,C,1941,6,0.24,10454,2,,"RD2, Los Angeles",Hollywood Hills,Urban,Los Angeles,United States,North America,Americas,90068-2875,,593-F3,"7,916,969.58",181.75,,,,"316,667",,9/15/2023,,Confirmed,In Progress,,82,No,No,"Laundry Facilities, Dining Room",,,,,,,,Adequate,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510578,,,Wood Frame,0.294421487603306,,"

Property Description: Multi Family   -  6 Units



",,,,06037,,,,,,Yes,B and X,0.59,,,13.84,,,223 Months,,,,,,,,34.1100244,,"99 S Lake Ave, 504",Rob,Renshaw,Pasadena,2138171000,CA,Lake Ave,99,,S,91101-4701,,-118.327481,60.000x175.000,593,F,3,Los Angeles,122,,,4,2,0,,0,6,,0,,,4(1 + 1) ,,5576-016-023,5576-016-023,,0.97,,,Los Angeles,Los Angeles,,CA,,,,,,308.64,,Primrose Ave,6319-6323,,,4606755,,,,,,Investment,Independent,,,,,8362 1/2 W 3rd St,Los Angeles,,3236589494,,W,Individual,CA,3rd St,8362 1/2,Private,90048-4311,,,,,,,,,,,,,"6,156",,,,,Hollywood,3ET       ,,,,,,,2(2 + 1) ,3078,24,,
2267-73 1/2 W. Adams Bl.,Los Angeles,CA,Multi-Family,"9,500",2 Star,"$2,400,000",252.63,9/14/2023,Sold,"2,499,000",5.02,,,,,,,Walter N. & Pearlena King,,National,CBRE,Apartments,C,1939,12,0.31,13504,2,,"R4-1, Los Angeles",West Adams,Urban,Los Angeles,United States,North America,Americas,90018,,,"7,741,706.16",177.73,,,,"200,000",,9/15/2023,,Confirmed,In Progress,,84,No,No,,,,,,,,,Adequate,Wood Frame,2021 Tax @ $699.61/Unit,,2021 Tax @ $699.61/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510602,,,Wood Frame,0.351758049705264,,"

Property Description: 12-UNIT APARTMENT COMPLEX



",,,,06037,,,,,,Yes,B and X,0.70,,,,,,20+ Years,,,,,,,,34.0329782,,"2221 Rosecrans Ave, 100",Brice W.,"Head, MBA",El Segundo,3103634900,CA,Rosecrans Ave,2221,,,90245-4931,,-118.3169257,75.000x180.000,,,,Los Angeles,59,,,0,0,0,,0,12,,12,,,,,5058-004-015,5058-004-015,,1.26,,,Los Angeles,Los Angeles,,CA,90018,,,,,252.63,,2267-73 1/2 W. Adams Bl.,,,,4026603,,,,,,Investment,Independent,,,,,12970 Valley View Ct,Apple Valley,Walter King,,,,Individual,CA,Valley View Ct,12970,Private,92308,PO BOX 59100,LOS ANGELES,Walter N & Pearlena King,,5625961473,CA,PO BOX 59100,,,,90059,,"9,500",,,,,Greater Inglewood,1EV       ,,,,,,,,4750,38,,
2677 Waverly Dr,Los Angeles,CA,Multi-Family,"3,890",2 Star,"$2,100,000",539.85,9/13/2023,Sold,"2,100,000",6.01,,,,,,,Alan Weinberg,,Local,Berkshire Hathaway Home Services Golden Properties,Apartments,C,1935,5,0.26,11378,2,,Assessor,Silver Lake,Urban,Los Angeles,United States,North America,Americas,90039-2769,,,"8,039,725.79",184.57,,,,"420,000",,9/13/2023,,Full Value,In Progress,,88,No,No,,,"41,638","583,218","624,856",2023,,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6508153,,,,0.0475484343645279,,,,,,06037,,,,,,Yes,B and X,0.34,,,,,,29 Months,,,,6.66,,,,34.1075513,,482 N Rosemead Blvd,Aline,Kharajian,Pasadena,6267977622,CA,Rosemead Blvd,482,,N,91107-3000,,-118.2606604,,,,,Los Angeles,61,,,0,0,0,,0,,,5,,,,,5438-024-006,5438-024-006,,,,,Los Angeles,Los Angeles,,CA,,,,,,539.85,,Waverly Dr,2677,,,9976938,,,,,,Investment,Independent,,,,,23321 Aetna St,Woodland Hills,Alan Weinberg,8183483749,,,,CA,Aetna St,23321,,91367,,,,,,,,,,,,,"3,890",,,,5(0 + 0) ,Northeast Los Angeles,9FD       ,,,,,,,,541,,,
1044 S Orange Grove Ave,Los Angeles,CA,Multi-Family,"5,322",2 Star,"$2,475,000",465.05,9/12/2023,Sold,"2,495,000",4.64,,,,,,,Sheldon A Ostroff,,National,Kidder Mathews,Apartments,C,1937,4,0.18,7841,2,,LAR3,Mid-City,Urban,Los Angeles,United States,North America,Americas,90019,,,"13,749,649.28",315.65,,,,"618,750",9/12/2023,9/12/2023,,Confirmed,In Progress,,86,No,No,,,"608,736","1,524,688","2,133,424",2023,1331,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6506713,,,,0.33937863483318,,"The bed-bath mix, unit counts and sizes are estimated based on information obtained through public record. The actual models and unit mix are still to be determined.",0605212,,,06037,,"1,732,500",,,Lender Name: South Credit union,Yes,B and X,0.68,,,15.09,,,20+ Years,,,,28.53,,,,34.0565,,"1925 Century Park E, 2350",Janet,Neman,Los Angeles,3103121800,CA,Century Park,1925,E,,90067-2701,,-118.36307,,,,,Los Angeles,34,,,0,4,0,,0,,,0,,,,,5086-013-008,5086-013-008,,1.32,,,Los Angeles,Los Angeles,,CA,90019,,,,,465.05,,Orange Grove Ave,1044,,S,10922738,,,,,,Investment,Independent,,,,,1441 State St,San Diego,Sheldon Ostroff,8585518929,,,Individual,CA,State St,1441,Private,92101-3421,1441 State St,San Diego,Sheldon A Ostroff,,8585518929,CA,State St,1441,,,92101-3421,,"5,322",,,,,Mid-Wilshire,RU0       ,,,,,Comp in progress.,,4(2 + 1) ,2661,,,
2101 Bonsallo Ave,Los Angeles,CA,Multi-Family,"8,718",3 Star,"$1,625,000",186.40,9/12/2023,Sold,"1,695,000",6.64,,,,,,,"Bonsallo Enterprises, LLC",,Local,Compass Commercial,Apartments,C,1909,6,0.20,8847,2,,"RD, Los Angeles",West Adams,Urban,Los Angeles,United States,North America,Americas,90007,,,"8,001,017.29",183.68,,,University of Southern California,"270,833",9/12/2023,9/12/2023,,Confirmed,In Progress,,114,No,No,,,"127,273","803,866","931,139",2023,,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6506530,,,,0.492707388101507,,"Location Corner: SW


Property Description: Multi Family   -  6 Units



",0605536,,,06037,,,,,,Yes,C and X,0.99,,,11.16,,,85 Months,,,,13.67,,,,34.0335959,,150 S Rodeo Dr,John,Swartz,Beverly Hills,3102728002,CA,Rodeo Dr,150,,S,90212-2408,,-118.2771939,71.000x124.000,,,,Los Angeles,189,,,0,0,0,,0,1,,6,,,,,5124-031-017,5124-031-017,,0.17,,,Los Angeles,Los Angeles,,CA,90007,,,,,186.40,,Bonsallo Ave,2101,,,4642550,,,,,,Investment,Independent,,,,,2299 W 20th St,Los Angeles,Peggy King,3105022391,,W,Individual,CA,20th St,2299     ,Private,90018,2299 W 20th St,Los Angeles,"Bonsallo Enterprises, LLC",,3105022391,CA,20th St,2299     ,,W,90018,,"8,718",,,,,Greater Inglewood,1EV       ,,,,,,,,4359,,,
501-507 S Carondelet St,Los Angeles,CA,Multi-Family,"6,558",2 Star,"$1,270,000",193.66,9/11/2023,Sold,"1,310,000",5.13,,,,,,Marcus & Millichap,Ocean Nectar LLC,,Local,Marcus & Millichap,Apartments,C,1923,8,0.16,7031,2,,LAR4,MacArthur Park,Urban,Los Angeles,United States,North America,Americas,90057-1801,,,"7,868,183.76",180.63,,,,"158,750",9/11/2023,9/11/2023,,Confirmed,In Progress,,100,No,No,,,"117,822","471,299","589,121",2023,,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16830 Ventura Blvd, 100",Matt,Ziegler,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6504975,,,,0.466390843207335,,,0601900,,,06037,,,,,,Yes,B and X,0.93,,,11.77,,,122 Months,,,,20.00,,,,34.0624979,,"16830 Ventura Blvd, 100",Matt,Ziegler,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.2785874,,,,,Los Angeles,41,,,6,0,0,,0,,,2,,,6(1 + 1) ,,5155-029-001,5155-029-001,,,,,Los Angeles,Los Angeles,,CA,,,,,,193.66,,Carondelet St,501-507,,S,9329804,,,,,,Investment,Independent,,,,,,Woodland Hills,Reza Nashat,8187929191,,,Individual,CA,,,Private,91365,,Woodland Hills,Ocean Nectar LLC,,8187929191,CA,,,,,91365,,"6,558",,,,2(0 + 1) ,Westlake,QE1       ,,,,,,,,3279,,,
268 S Coronado St,Los Angeles,CA,Multi-Family,"12,156",2 Star,"$2,675,000",220.06,9/8/2023,Sold,"3,000,000",7.58,,,268 Coronado Street LLC,,National,,268-272 S Coronado St LLC,,Local,Secured Properties,Apartments,C,1922,18,0.31,13320,2,,LAR3,Westlake North,Urban,Los Angeles,United States,North America,Americas,90057-1410,,,"8,747,972.97",200.83,,,,"148,611",9/8/2023,9/11/2023,,Confirmed,In Progress,,101,No,No,Breakfast Nook,,"441,732","289,658","731,390",2023,,,Adequate,Wood Frame,,,,2224 1/2 Berkeley Ave,Los Angeles,Michael Jarvis,3038196492,,,Individual,CA,Berkeley Ave,2224 1/2,Private,90026-2486,2224 1/2 Berkeley Ave,Los Angeles,268 Coronado Street LLC,,3038196492,CA,Berkeley Ave,2224 1/2,,,90026-2486,,,,,,,,,,,,,6504586,,,Wood Frame,0.456296029368708,,,0599227,,,06037,,,,,,Yes,B and X,0.91,,,,,,20+ Years,,,,60.40,,,,34.066038,,"3435 Wilshire Blvd, 2510",Jay,Chu,Los Angeles,2133895888,CA,Wilshire Blvd,3435,,,90010-1901,,-118.2773403,,,,,Los Angeles,120,,,16,2,0,,0,18,,0,,,16(1 + 1) ,,5155-033-011,5155-033-011,,,,,Los Angeles,Los Angeles,,CA,,,,,,220.06,,Coronado St,268,,S,14979213,,,,,,Investment,Independent,,,,,143 S Kilkea Dr,Los Angeles,Beverly Eshed,3236554245,,S,Individual,CA,Kilkea Dr,143      ,Private,90048,143 S Kilkea Dr,Los Angeles,268-272 S Coronado St LLC,,3236554245,CA,Kilkea Dr,143      ,,S,90048,,"12,156",,,,,Westlake,3GL       ,,,,,,,2(2 + 1) ,6078,,,
2140 Magnolia Ave,Long Beach,CA,Multi-Family,"8,404",2 Star,"$2,300,000",273.68,9/8/2023,Sold,"2,300,000",4.04,,,,,,,,,,Marcus & Millichap,Apartments,C,1940,12,0.29,12669,2,,LBR2N,Wrigley,Suburban,Los Angeles,United States,North America,Americas,90806-4533,,,"7,908,122.19",181.55,,,,"191,667",9/8/2023,9/8/2023,,Confirmed,In Progress,,83,No,No,"Air Conditioning, Laundry Facilities",,"347,145","282,142","629,287",2023,,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6504205,,,,0.331676005743157,,,0599369,,,06037,,"1,000,000",JP Morgan Chase Bank,,Lender Name: Jpmorgan Chase Bank Na,No,,0.66,,,14.33,,,20+ Years,,,,55.16,,,,33.7961602,,"880 Apollo St, 101",Steve,Bogoyevac,El Segundo,4244053900,CA,Apollo St,880,,,90245,,-118.197782,,,,,Los Angeles,75,,,12,0,0,,0,8,,0,,,12(1 + 1) ,,7205-025-026,7205-025-026,,0.95,,,Long Beach,Los Angeles,,CA,,,,,,273.68,,Magnolia Ave,2140,,,15957926,,,,,,Investment,Independent,,,,,,,,,,,,,,,,,Po Box 14763,Long Beach,Michelle Pfister 2023 Charitable Remainder Tr,,,CA,Po Box 14763,,,,90853-4763,,"8,404",,,,,Long Beach/Ports,7FC       ,,,,,,,,4202,,,
1143 S Rimpau Blvd,Los Angeles,CA,Multi-Family,"4,068",2 Star,"$1,792,500",440.63,9/8/2023,Sold,"1,895,000",3.80,,,Allison Medina,,Local,Douglas Elliman,Kenneth Thompson,,National,McAlpin & Company,Apartments,C,1935,2,0.17,7405,2,,LAR2,Miracle Mile,Urban,Los Angeles,United States,North America,Americas,90019-1812,,,"10,544,402.43",242.07,,50.0,,"896,250",9/8/2023,9/13/2023,,Confirmed,In Progress,,88,No,No,,,"462,070","981,900","1,443,970",2023,,,,Wood Frame,,,,1119 Hacienda Pl,West Hollywood,Allison Medina,8184226597,,,Individual,CA,Hacienda Pl,1119,Private,90069,,,Medina Allison Meredith/Medina William Miller,,,,,,,,,"150 S El Camino Dr, 200",Timothy,White,Beverly Hills,3105953888,CA,El Camino Dr,150,,S,90212-2733,,6508316,,,Wood Frame,0.274671852211959,,,0598899,"817,500",,06037,,"975,000",United Wholesale Mortgage,,,Yes,B and X,0.55,,,,,,20+ Years,,,,32.00,,,,34.053359,,"8055 W Manchester Ave, 410",Jerome,McAlpin,Playa Del Rey,3104374172,CA,Manchester Ave,8055,,W,90293-7960,,-118.335555,,,,,Los Angeles,161,,,0,0,2,,0,3,,0,,,,,5083-009-010,5083-009-010,,0.74,50.00%,,Los Angeles,Los Angeles,,CA,,,,,,440.63,,Rimpau Blvd,1143,,S,13973715,,,,,,Investment,Independent,,,,,702 E 94th St,Los Angeles,Kenneth Thompson,9145572576,,E,Individual,CA,94th St,702,Private,90002,,,Thompson Kenneth & Gwendolyn,,,,,,,,,,"4,068",,,,,Mid-Wilshire,RU1       ,,2(3 + 2) ,,,Research in progress,,,2034,,,
801 Waterloo St,Los Angeles,CA,Multi-Family,"4,670",2 Star,,,9/8/2023,Sold,"1,475,000",4.08,,,,,,,Bradley M & L Fam Trust,,Local,eLAvate Inc.,Apartments,C,1917,5,0.14,6307,2,,LARD1.5,Silver Lake,Urban,Los Angeles,United States,North America,Americas,90026-4039,,,,,,,,,9/8/2023,9/13/2023,,,In Progress,,106,No,No,,,"307,939","543,500","851,439",2023,,,,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6508203,,,Wood Frame,0.370194917532939,,,0599837,,,06037,,"866,250",,,"Lender Name: Genesis Capital, LLC",Yes,B and X,0.74,,,,,,44 Months,,,,36.17,,,,34.0757996,,"17141 Ventura Blvd, 214",Josh,Hodeda,Encino,8186431980,CA,Ventura Blvd,17141,,,91316-4027,,-118.2684541,,,,,Los Angeles,117,,,0,0,0,,0,5,,5,,,,,5402-028-023,5402-028-023,,1.07,,,Los Angeles,Los Angeles,,CA,,,,,,,,Waterloo St,801,,,9458848,,,,,,Investment,Independent,,,,,1945 N Kenmore Ave,Los Angeles,Michael Bradley,,,N,Individual,CA,Kenmore Ave,1945,Private,90027,1945 N Kenmore Ave,Los Angeles,Bradley M & L Fam Trust,,,CA,Kenmore Ave,1945,,N,90027,,"4,670",,,,,Northeast Los Angeles,9FD       ,,,,,,,,2335,,,
