Size,Building SF,Number Of Units,Number Of Floors,Price Per AC Land,Price Per SF Land,Asking Price,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Floor Area Ratio,Number Of Parking Spaces,Number Of Studios Units,Typical Floor (SF),Number Of 3 Bedrooms Units,Land Area AC,Land Area SF,Star Rating,Net Income,Year Built,Age,Sale Price
4872,4872.0,8.0,2.0,10044718.96,230.6,"1,075,000",3.0,0.0,1.0,3.0,5.0,2436.0,0.0,0.11,4857.0,3.0,47515.0,1929.0,94.0,1120000.0
8898,8898.0,7.0,2.0,27260869.57,625.82,"4,000,000",6.0,1.0,1.47,10.0,0.0,3131.0,0.0,0.14,6072.0,2.0,107160.0,1939.0,84.0,3800000.0
6474,6474.0,4.0,2.0,20078107.85,460.93,"2,915,000",0.0,0.0,1.05,5.0,4.0,2848.0,0.0,0.14,6194.0,2.0,108730.0,1931.0,92.0,2855000.0
3980,3980.0,5.0,2.0,14209048.36,326.2,"2,375,000",4.0,1.0,0.56,4.0,0.0,3153.0,0.0,0.16,7051.0,2.0,77633.0,1941.0,82.0,2300000.0
4798,4798.0,9.0,2.0,7695600.0,176.67,"1,435,000",1.0,0.0,0.64,14.0,8.0,2399.0,0.0,0.17,7500.0,2.0,66117.0,1924.0,99.0,1325000.0
3100,3100.0,4.0,2.0,4130352.33,94.82,"1,050,000",1.0,0.0,0.31,2.0,2.0,1550.0,1.0,0.23,10019.0,2.0,64050.0,1925.0,98.0,950000.0
2636,2636.0,4.0,2.0,5808000.0,133.33,"849,000",4.0,0.0,0.45,4.0,0.0,1318.0,0.0,0.13,5850.0,3.0,50856.0,1941.0,82.0,780000.0
3328,3328.0,4.0,2.0,13317364.02,305.73,"1,685,000",4.0,0.0,0.63,4.0,0.0,1664.0,0.0,0.12,5258.0,2.0,50213.0,1922.0,101.0,1607500.0
2524,2524.0,4.0,2.0,8214824.53,188.59,"1,250,000",3.0,0.0,0.41,10.0,0.0,1262.0,0.0,0.14,6098.0,3.0,79350.0,1901.0,122.0,1150000.0
4692,4692.0,7.0,2.0,6250580.19,143.49,"1,499,000",6.0,1.0,0.49,4.0,0.0,2346.0,0.0,0.22,9652.0,2.0,45497.0,1937.0,86.0,1385000.0
5540,5540.0,8.0,2.0,6905899.68,158.54,"1,875,000",0.0,0.0,0.48,2.0,8.0,2770.0,0.0,0.27,11543.0,2.0,97125.0,1930.0,93.0,1830000.0
4218,4218.0,4.0,2.0,5666666.67,130.09,"975,000",4.0,0.0,0.65,4.0,0.0,2109.0,0.0,0.15,6534.0,2.0,50660.0,1922.0,101.0,850000.0
4718,4718.0,6.0,2.0,10800000.0,247.93,"1,699,000",6.0,0.0,0.72,4.0,0.0,2359.0,0.0,0.15,6534.0,2.0,89104.0,1940.0,83.0,1620000.0
3110,3110.0,4.0,2.0,10826666.67,248.55,"1,648,000",3.0,1.0,0.48,6.0,0.0,1555.0,0.0,0.15,6534.0,2.0,77784.0,1940.0,83.0,1624000.0
3660,3660.0,4.0,2.0,3046762.59,69.94,"750,000",3.0,0.0,0.37,12.0,1.0,1830.0,0.0,0.23,10008.0,2.0,34811.0,1926.0,97.0,700000.0
4065,4065.0,6.0,2.0,7208609.15,165.49,"1,800,000",3.0,3.0,0.39,9.0,0.0,2033.0,0.0,0.24,10454.0,2.0,118718.0,1924.0,99.0,1730000.0
5254,5254.0,4.0,2.0,7726945.82,177.39,"1,550,000",0.0,4.0,0.63,14.0,0.0,2627.0,0.0,0.19,8287.0,2.0,40636.0,1922.0,101.0,1470000.0
9377,9377.0,10.0,2.0,19031694.31,436.91,"2,950,000",0.0,0.0,1.39,4.0,10.0,4047.0,0.0,0.16,6752.0,2.0,147500.0,1925.0,98.0,2950000.0
4080,4080.0,6.0,1.0,5060942.65,116.18,"1,500,000",0.0,0.0,0.34,6.0,6.0,4080.0,0.0,0.28,12136.0,2.0,67240.0,1938.0,85.0,1410000.0
2192,2192.0,4.0,1.0,4686176.35,107.58,"775,000",4.0,0.0,0.31,3.0,0.0,2192.0,0.0,0.16,7111.0,2.0,36310.0,1923.0,100.0,765000.0
3461,3461.0,4.0,1.0,4843472.02,111.19,"799,000",1.0,3.0,0.5,4.0,0.0,3461.0,0.0,0.16,6970.0,2.0,35159.0,1908.0,115.0,775000.0
2665,2665.0,6.0,1.0,11210294.12,257.35,"1,550,000",6.0,0.0,0.44,5.0,0.0,2665.0,0.0,0.14,6120.0,2.0,68985.0,1924.0,99.0,1575000.0
2835,2835.0,4.0,1.0,4588359.22,105.33,"845,000",4.0,0.0,0.38,4.0,0.0,2835.0,0.0,0.17,7405.0,2.0,43056.0,1939.0,84.0,780000.0
2894,2894.0,5.0,1.0,6398489.14,146.89,"1,725,000",5.0,0.0,0.3,3.0,0.0,2894.0,0.0,0.22,9531.0,2.0,123766.0,1923.0,100.0,1400000.0
3720,3720.0,5.0,2.0,8635642.74,198.25,"1,050,000",4.0,1.0,0.78,3.0,0.0,1860.0,0.0,0.11,4792.0,2.0,43681.0,1924.0,99.0,950000.0
13760,13760.0,12.0,2.0,10529960.44,241.74,"5,350,000",4.0,8.0,0.67,18.0,0.0,10223.0,0.0,0.47,20477.0,2.0,230175.0,1937.0,86.0,4950000.0
5156,5156.0,5.0,2.0,12542665.9,287.94,"2,495,000",0.0,3.0,0.6,10.0,0.0,2578.0,2.0,0.2,8665.0,2.0,108682.0,1939.0,84.0,2495000.0
3580,3580.0,5.0,2.0,7656759.35,175.78,"1,849,950",3.0,2.0,0.38,5.0,0.0,1790.0,0.0,0.22,9387.0,2.0,61976.0,1941.0,82.0,1650000.0
