BuildingSF,SalePrice,YearBuilt,LandAreaSF,AvgUnitSF,Coverage,ImprovementRatio,MarketTime,NetIncome,NumberOf1BedroomsUnits,NumberOf2BedroomsUnits,NumberOf3BedroomsUnits,NumberOfOtherBedroomsUnits,NumberOfParkingSpaces,NumberOfStudiosUnits,ParkingRatio,UnitsPerAcre,LocationType,BuildingCondition,BuildingMaterials,PortfolioCounty,BusinessCenter,CommunityWideWiFi,CorporateSuites,DayCare,DisposalChutes,Elevator,EnergyStarLabeled,OnSiteRetail,PackageService,PetWashingStation,PropertyManageronSite,Sauna,Spa,StorageSpace,WiFi
6156,1900000,1941,10454,812,0.294421487603306,49.68,122,106572,4,2,0,0,6,0,0.97,24,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
9500,2400000,1939,13504,812,0.351758049705264,49.68,59,106572,0,0,0,0,12,12,1.26,38,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3890,2100000,1935,11378,812,0.0475484343645279,6.66,61,106572,0,0,0,0,8,5,1.25,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
5322,2475000,1937,7841,1331,0.33937863483318,28.53,34,106572,0,4,0,0,8,0,1.32,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
8718,1625000,1909,8847,812,0.492707388101507,13.67,189,106572,0,0,0,0,1,6,0.17,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6558,1270000,1923,7031,812,0.466390843207335,20,41,106572,6,0,0,0,8,2,1.25,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
12156,2675000,1922,13320,812,0.456296029368708,60.4,120,106572,16,2,0,0,18,0,1.25,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
8404,2300000,1940,12669,812,0.331676005743157,55.16,75,106572,12,0,0,0,8,0,0.95,44,Suburban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4068,1792500,1935,7405,812,0.274671852211959,32,161,106572,0,0,2,0,3,0,0.74,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4013,1825000,1945,18728,1003,0.214277948988926,76.52,71,106572,3,0,0,1,14,0,1.25,44,Suburban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
